feature,module,A,fdr
NFATC2,2,0.8325667351852541,8.942051687720527e-15
IKZF2,2,0.9429966989309723,1.8151718022148215e-17
RARB,2,1.2597737387641137,1.6684932064571418e-37
USP53,2,1.616967314458042,1.301068957742092e-64
INVS,2,0.9629142844265802,2.457685519746219e-15
AC104389.5,2,0.6152015452332704,1.2818528594868958e-05
MIPOL1,2,0.6923369765784831,5.233421284950206e-07
CRABP1,2,1.5372958856811754,1.1394713840982166e-63
COL5A2,2,2.3928591261353427,3.1202813978333795e-213
TP63,2,0.6157986968875735,1.2291653291825355e-06
MYO10,2,1.4122286317643715,1.8737345813723579e-56
NPR3,2,1.3692465549051702,1.2839313148576456e-50
IMMP2L,2,1.5294522427141688,8.232775354899369e-54
DUSP6,2,0.9423204567529619,1.0755904119323181e-19
DLEU2,2,1.722754155496987,6.239686394216424e-74
NPAS3,2,1.3573802181219383,1.8481173890626598e-44
TNFRSF12A,2,0.8919149172547836,3.370198909281144e-17
CEP112,2,0.9802335291996933,3.7293139984289307e-20
BIN3,2,0.7601664988704232,3.771921819854487e-08
MSRB3,2,1.1704079750968814,6.43445839910913e-32
PHLDA1,2,1.1281634166695178,7.643272660154166e-32
TANC1,2,1.668473289778321,1.8454787970088825e-70
LMCD1-AS1,2,1.2047033343249347,5.6371715614155045e-30
FRMD3,2,1.2075592425557469,3.914201545355732e-31
IFITM3,2,1.5394339323075972,5.3144709820393785e-65
FOXO1,2,1.3749208138676543,2.667500601868292e-44
LINC01198,2,0.9993419930421581,6.952237345952486e-21
PTPRM,2,1.2175459891477838,9.675572077932782e-34
SHROOM4,2,0.8292852449015788,2.953651413028712e-15
GRIK3,2,1.2450853066163767,9.082731206860034e-31
WWTR1,2,2.087325648112015,6.258988853298803e-149
SPARC,2,2.1548910091697833,3.240220085246245e-166
SMC5-AS1,2,1.2632506826990164,7.614163438481123e-38
OLFML2A,2,2.1914517823199,4.4133871984628664e-149
ADAMTS8,2,0.7180469867651044,4.422340311163173e-10
SHC4,2,1.5572673474485277,1.580145570852235e-59
CDH19,2,2.298028548582847,6.36420924308077e-197
JAG1,2,1.5490193760494277,2.0165953357333485e-65
PLP1,2,2.379487056149712,8.20342010631783e-207
IFI44L,2,0.5739429035763368,1.6485052779605392e-05
AFF3,2,1.431830777811904,1.8935684559214157e-47
IGFBP2,2,1.822615086602523,8.788428723128032e-100
SIPA1L1,2,1.436378624650561,2.3344863651943144e-45
GINS3,2,1.3120403370804412,2.468962647230498e-43
MIR99AHG,2,1.9755101439020661,2.8371699681361476e-113
RFTN2,2,1.5006933114543988,6.786855979023634e-61
ARHGAP42,2,1.8209690382270958,2.5094420184963017e-97
HMGA2-AS1,2,1.0173486242897496,5.656893614794116e-24
FXYD1,2,2.054836243112712,1.343541270638314e-126
TTYH1,2,1.6944776901614755,4.234890809754055e-75
LINC01473,2,1.146910969688691,2.0966860559235853e-24
SEMA3B,2,2.0598597606217917,2.813069590288503e-137
MOXD1,2,2.1185714533148166,1.723678769634569e-151
SPRY2,2,0.8060352377450913,3.925437936583413e-09
S100B,2,2.4563784340651442,2.488330259563755e-226
ITGA4,2,1.587530793758454,3.0117078636319303e-68
PARD3B,2,2.0590387416162406,2.6845701619631607e-126
TENM3,2,2.206891510785061,1.5738582903679647e-168
TSBP1-AS1,2,1.0700851230207142,7.658968104333147e-20
UTRN,2,2.236102385056114,2.559496759745366e-185
COL5A1,2,1.8860471775372325,1.4069680078833414e-108
COL4A2,2,2.3315425349639667,2.523305314403753e-183
