feature,module,A,fdr
FAM155A,3,0.36788247464815693,6.711032646868029e-198
PRKD1,3,0.336815472295493,4.439746122241738e-144
NPAS3,3,0.7177552674859645,0.0
FLRT2,3,0.8023164029107898,0.0
FGF7,3,0.32478468510844605,0.0
CRABP1,3,0.3641164390287518,0.0
ARHGAP28,3,0.3630868682782683,2.941684928757549e-53
JAG1,3,0.34205299427656183,0.0
SLC24A3,3,0.38029709529778755,0.0
TSHZ2,3,1.078642661616444,0.0
AL109930.1,3,0.612795114328401,0.0
GRIA3,3,0.31034798700001354,4.0436193113019028e-224
HES4,3,0.5089795659797791,0.0
GUCY1A1,3,0.5195282432781654,0.0
PRSS35,3,0.6997502505615243,0.0
ISYNA1,3,0.37498533956696695,5.1602250252972884e-182
CRABP2,3,0.6771237069684924,0.0
IGFBP5,3,0.4614414455078786,0.0
TNNC1,3,0.41366288391424194,3.1455753057134793e-25
AC244230.2,3,0.5460282651938394,3.2401125031409754e-22
ADAM12,3,0.3515203542688178,0.0
CD44,3,0.33212685763506117,0.0
MYL4,3,0.38526350969065504,3.42037342750307e-24
IGFBP6,3,0.5233526319270974,8.964169848599695e-228
DHRS3,3,0.3319585619754457,0.0
PPP2R2B,3,0.5732391186633217,6.341841281107605e-110
TUBB2B,3,0.4398953085547848,0.0
STC2,3,0.42025720292767077,1.627680441650844e-78
SAMD5,3,0.3966376478439442,0.0
ALDH1A1,3,0.3066442254388587,0.0
NTRK2,3,0.5324691590325584,0.0
THSD4,3,0.3135072993032796,0.0
TWIST2,3,0.3053006950369487,0.0
PCSK5,3,0.3684668502204379,8.966765456126647e-204
TLE1,3,0.38596411874824343,0.0
KLHL29,3,0.30100729713795665,1.1984984473872766e-187
IL1R1,3,0.32152635783768135,1.2958105192896627e-228
HES1,3,0.38676957101487863,0.0
AL033504.1,3,0.3470903062992858,0.0
AKAP12,3,0.9032192827080235,0.0
KCND2,3,0.32641885797009784,2.221172932210734e-79
DLGAP1,3,0.30878174140170156,0.0
TGM2,3,0.3771296416946147,1.7051664720546524e-160
H2AC6,3,0.38411675489427244,7.344478120961035e-96
SERPINF1,3,0.3553957160775011,9.082889129442375e-195
ADAMTSL1,3,0.9953666362976049,0.0
HTRA1,3,0.6320809445891347,7.586855542945054e-226
SLC38A1,3,0.44793642533697736,0.0
CSRP2,3,0.43130698404085277,0.0
LINC01036,3,0.3734796921347272,2.480601570758572e-60
CEBPD,4,0.6447425077856797,0.0
EMP1,4,0.3090165263053752,0.0
CCL2,4,0.723609685030964,0.0
NR4A2,4,0.536846402996069,4.681999647659873e-246
CXCL2,4,0.3369795606905016,0.0
NFKB1,4,0.48225143737437004,0.0
HIVEP2,4,0.34876772296819136,3.674313828048465e-197
NAMPT,4,0.6025297321994072,0.0
SIK2,4,0.3552331009877933,1.4996407981621108e-242
NFKBIA,4,0.4017023373593781,0.0
THBS1,4,0.31378613501453523,9.296519098679633e-217
ICAM1,4,0.31053901067456524,0.0
HDX,4,0.3425344305354968,9.210755698913813e-109
GIPC2,4,0.9720878870099008,0.0
ADAMTSL4-AS1,4,1.1218131667854845,0.0
NUP210L,4,0.3923456432074,0.0
SEMA4A,4,0.8501075744526521,0.0
SLC25A44,4,0.38962623926744755,0.0
ATF6,4,0.3673697716635779,4.771749474362451e-98
IER5,4,0.30796598365802974,2.519759019756144e-81
NABP1,4,0.47723324396678246,0.0
COQ10B,4,0.37567161529598264,4.604301089797613e-255
THUMPD3-AS1,4,0.4863156871089267,2.211848752444865e-165
TTC21A,4,0.44998010054107584,0.0
SOX2-OT,4,0.34791455161060364,1.2075239763724711e-255
ZSWIM6,4,1.3998739253493264,0.0
HOMER1,4,0.5677945673587306,0.0
IRF1-AS1,4,0.32753277331687436,0.0
MAN1A1,4,0.3432953085266456,1.2932158377901823e-162
NFE2L3,4,1.0570946834912514,0.0
LINC01004,4,0.5303164997694964,5.913934061960728e-215
SNX31,4,0.34316721272777106,0.0
BAG3,4,0.3774927808369033,8.568517768970502e-130
SIK3,4,0.7321925530357585,0.0
